feature,weight,std
loan_amnt,0.3468905573295905,0.00025569460065278396
total_pymnt,0.30713871154962274,0.0003222576092756279
out_prncp,0.30536426551484136,0.0003034800850493376
total_rec_int,0.08573113234814658,0.00032720431478360786
last_pymnt_amnt,0.017040601378583164,0.0001409059092243934
recoveries,0.005857475495580067,9.476863355413581e-05
tot_hi_cred_lim,0.001192675612119154,5.711666847039822e-05
bc_open_to_buy,0.0011681654114823249,8.437013682321294e-05
total_bc_limit,0.000707096165540988,5.2756551299586414e-05
total_bal_ex_mort,0.0006733368325883893,3.732457522016877e-05
annual_inc,0.0003713526624783414,3.252355818283582e-05
revol_bal,0.0003214073479731461,3.9701301179668456e-05
delinq_amnt,1.3873698473609864e-06,2.3580753080807135e-06
num_bc_sats,0.0,0.0
mo_sin_old_rev_tl_op,0.0,0.0
mths_since_recent_bc,0.0,0.0
chargeoff_within_12_mths,0.0,0.0
acc_open_past_24mths,0.0,0.0
num_tl_op_past_12m,0.0,0.0
revol_util,0.0,0.0
